model,batch_size,run,dp_enabled,noise_multiplier,epsilon,morph_enabled,morph_operation,mean_dice,max_dice,s_measure,mae,mean_sensitivity,max_sensitivity,mean_specificity,max_specificity,mean_e_measure,max_e_measure,job_id
Inf-Net_DP_Morph,48,2,True,0.7,211.07,True,dilation,0.4091,0.5135,0.5674,0.2573,0.6468,1.0,0.7673,0.9987,0.5601,0.7825,59954804
Inf-Net_DP_Morph,48,3,True,0.7,211.07,True,dilation,0.4097,0.5298,0.5735,0.247,0.6235,1.0,0.775,0.9803,0.5705,0.7986,59954805
Inf-Net_DP_Morph,48,1,True,0.7,211.07,True,erosion,0.4031,0.5248,0.552,0.2924,0.698,1.0,0.7153,0.9958,0.5257,0.7704,59954806
Inf-Net_DP_Morph,48,2,True,0.7,211.07,True,erosion,0.4208,0.5221,0.5662,0.2682,0.6837,1.0,0.7498,0.9951,0.5603,0.7739,59954807
Inf-Net_DP_Morph,48,3,True,0.7,211.07,True,erosion,0.4004,0.5198,0.5475,0.2991,0.6971,1.0,0.7081,0.9976,0.5266,0.7913,59954808
Inf-Net_DP_Morph,48,1,True,0.7,211.07,True,open,0.3786,0.495,0.5533,0.2834,0.653,1.0,0.7308,0.9981,0.5204,0.7698,59954794
Inf-Net_DP_Morph,48,2,True,0.7,211.07,True,open,0.4369,0.5413,0.5768,0.255,0.677,1.0,0.7686,0.9981,0.577,0.7842,59954795
Inf-Net_DP_Morph,48,3,True,0.7,211.07,True,open,0.4132,0.5269,0.5588,0.2803,0.6765,1.0,0.7356,0.9945,0.5463,0.7901,59954796
Inf-Net_DP_Morph,64,1,True,0.3,inf,True,both,0.4565,0.5554,0.608,0.1981,0.6276,1.0,0.843,0.9989,0.6265,0.8126,59954815
Inf-Net_DP_Morph,64,2,True,0.3,inf,True,both,0.4729,0.5766,0.6158,0.2013,0.6409,1.0,0.8311,0.9946,0.6352,0.832,59954816
Inf-Net_DP_Morph,64,3,True,0.3,inf,True,both,0.4561,0.5649,0.6096,0.2045,0.6357,1.0,0.8268,0.9933,0.6202,0.8289,59954817
Inf-Net_DP_Morph,64,1,True,0.3,inf,True,close,0.4509,0.5513,0.6097,0.1994,0.6231,1.0,0.8387,0.9949,0.6222,0.8164,59954812
Inf-Net_DP_Morph,64,2,True,0.3,inf,True,close,0.4653,0.5781,0.621,0.199,0.6423,1.0,0.8363,0.9985,0.6233,0.817,59954813
Inf-Net_DP_Morph,64,3,True,0.3,inf,True,close,0.4688,0.5795,0.6184,0.1988,0.6461,1.0,0.8345,0.9985,0.6297,0.8345,59954814
Inf-Net_DP_Morph,64,1,True,0.3,inf,True,dilation,0.4823,0.5945,0.6381,0.1803,0.6355,1.0,0.8559,0.997,0.6477,0.8418,59954818
Inf-Net_DP_Morph,64,2,True,0.3,inf,True,dilation,0.4851,0.5889,0.6323,0.1785,0.6223,1.0,0.8637,0.998,0.6549,0.8268,59954819
Inf-Net_DP_Morph,64,3,True,0.3,inf,True,dilation,0.4671,0.5768,0.6239,0.1845,0.599,1.0,0.8551,0.9862,0.643,0.8181,59954820
Inf-Net_DP_Morph,64,1,True,0.3,inf,True,erosion,0.5134,0.6168,0.636,0.1836,0.6842,1.0,0.8472,0.999,0.6683,0.848,59954821
Inf-Net_DP_Morph,64,2,True,0.3,inf,True,erosion,0.4874,0.6033,0.6223,0.2057,0.6853,1.0,0.82,0.9968,0.6325,0.8402,59954822
Inf-Net_DP_Morph,64,3,True,0.3,inf,True,erosion,0.4766,0.5843,0.6138,0.2044,0.6683,1.0,0.8253,0.9981,0.63,0.8262,59954823
Inf-Net_DP_Morph,64,1,True,0.3,inf,True,open,0.4962,0.5882,0.6334,0.1788,0.6349,1.0,0.8629,0.9946,0.6623,0.8185,59954809
Inf-Net_DP_Morph,64,2,True,0.3,inf,True,open,0.4809,0.5876,0.6218,0.1962,0.6454,1.0,0.8392,0.9995,0.6406,0.8349,59954810
